cpu_percent,mem_percent,time_stamp
0.0,57.8,2020-10-21 17:38:08.364234
0.0,57.8,2020-10-21 17:38:09.369319
0.0,57.8,2020-10-21 17:38:10.377972
16.7,57.8,2020-10-21 17:38:11.392432
0.0,57.8,2020-10-21 17:38:12.402713
0.0,57.9,2020-10-21 17:38:13.408704
0.0,57.9,2020-10-21 17:38:14.417510
0.0,58.1,2020-10-21 17:38:15.425221
25.0,58.1,2020-10-21 17:38:16.429442
0.0,58.7,2020-10-21 17:38:17.524070
0.0,58.7,2020-10-21 17:38:18.541108
27.1,58.2,2020-10-21 17:38:19.544472
0.0,58.1,2020-10-21 17:38:20.552008
26.5,58.2,2020-10-21 17:38:21.563840
0.0,58.2,2020-10-21 17:38:22.571240
74.2,58.6,2020-10-21 17:38:23.666647
100.0,61.5,2020-10-21 17:38:24.823472
70.3,60.9,2020-10-21 17:38:25.924492
0.0,59.5,2020-10-21 17:38:26.945411
92.3,58.6,2020-10-21 17:38:28.056613
0.0,59.9,2020-10-21 17:38:29.161333
69.4,62.1,2020-10-21 17:38:30.166947
0.0,62.2,2020-10-21 17:38:31.187997
0.0,60.0,2020-10-21 17:38:32.200064
63.3,58.1,2020-10-21 17:38:33.208053
0.0,57.7,2020-10-21 17:37:57.848357
0.0,57.7,2020-10-21 17:37:58.859810
0.0,57.8,2020-10-21 17:37:59.869648
0.0,57.9,2020-10-21 17:38:00.877240
0.0,57.8,2020-10-21 17:38:01.892295
0.0,57.9,2020-10-21 17:38:02.904418
33.3,57.9,2020-10-21 17:38:03.934858
18.8,58.0,2020-10-21 17:38:04.944823
0.0,58.0,2020-10-21 17:38:05.956917
0.0,57.8,2020-10-21 17:38:06.969508
